time,current,volume,high,low,money,position,a1_p,b1_p,a1_v,b1_v,contract_code
2.01912E+13,0.4357,7,0.4357,0.4357,30499,7,0.4357,0.4178,3,10,10002117.XSHG
2.01912E+13,0.436,8,0.436,0.4357,34859,7,0.436,0.4346,4,10,10002117.XSHG
2.01912E+13,0.4336,14,0.436,0.4336,60875,13,0.436,0.4335,4,10,10002117.XSHG
2.01912E+13,0.436,18,0.436,0.4336,78315,13,0.4363,0.436,10,1,10002117.XSHG
2.01912E+13,0.436,19,0.436,0.4336,82675,14,0.4396,0.4285,10,10,10002117.XSHG
2.01912E+13,0.4403,24,0.4403,0.4336,104690,19,0.4403,0.4292,5,10,10002117.XSHG
2.01912E+13,0.4364,25,0.4403,0.4336,109054,20,0.4404,0.4362,30,10,10002117.XSHG
2.01912E+13,0.4411,26,0.4411,0.4336,113465,21,0.4424,0.4345,30,30,10002117.XSHG
2.01912E+13,0.4376,27,0.4411,0.4336,117841,22,0.4441,0.4372,1,10,10002117.XSHG
2.01912E+13,0.4441,28,0.4441,0.4336,122282,23,0.4465,0.4387,10,10,10002117.XSHG
2.01912E+13,0.445,29,0.445,0.4336,126732,24,0.4451,0.4385,10,30,10002117.XSHG
2.01912E+13,0.445,30,0.445,0.4336,131182,25,0.4497,0.4423,10,40,10002117.XSHG
2.01912E+13,0.445,31,0.445,0.4336,135632,26,0.4475,0.445,10,4,10002117.XSHG
2.01912E+13,0.445,33,0.445,0.4336,144532,28,0.4475,0.445,10,2,10002117.XSHG
2.01912E+13,0.445,35,0.445,0.4336,153432,30,0.4475,0.4439,10,30,10002117.XSHG
2.01912E+13,0.4427,45,0.445,0.4336,197702,40,0.4453,0.4427,10,30,10002117.XSHG
2.01912E+13,0.4428,65,0.445,0.4336,286322,60,0.446,0.4429,10,30,10002117.XSHG
2.01912E+13,0.4424,75,0.445,0.4336,330562,70,0.446,0.4407,10,10,10002117.XSHG
2.01912E+13,0.4407,85,0.445,0.4336,374632,80,0.4458,0.4407,10,30,10002117.XSHG
2.01912E+13,0.4429,105,0.445,0.4336,462992,100,0.4458,0.4405,10,10,10002117.XSHG
2.01912E+13,0.4406,115,0.445,0.4336,507052,110,0.4458,0.4405,10,10,10002117.XSHG
2.01912E+13,0.4411,125,0.445,0.4336,551162,120,0.4461,0.4434,10,10,10002117.XSHG
2.01912E+13,0.4434,135,0.445,0.4336,595502,130,0.4461,0.4418,10,30,10002117.XSHG
2.01912E+13,0.4407,155,0.445,0.4336,683652,150,0.4457,0.4407,10,20,10002117.XSHG
2.01912E+13,0.4406,165,0.445,0.4336,727712,160,0.4457,0.4404,10,10,10002117.XSHG
2.01912E+13,0.4434,175,0.445,0.4336,772052,170,0.4457,0.4404,10,40,10002117.XSHG
2.01912E+13,0.4406,185,0.445,0.4336,816112,180,0.4461,0.4404,10,40,10002117.XSHG
2.01912E+13,0.4422,205,0.445,0.4336,904682,200,0.4461,0.4422,10,20,10002117.XSHG
2.01912E+13,0.4406,215,0.445,0.4336,948742,210,0.4461,0.4404,10,10,10002117.XSHG
2.01912E+13,0.4406,225,0.445,0.4336,992802,220,0.4461,0.4435,10,10,10002117.XSHG
2.01912E+13,0.4466,226,0.4466,0.4336,997268,220,0.4466,0.4446,9,10,10002117.XSHG
2.01912E+13,0.4518,236,0.4518,0.4336,1042448,220,0.4524,0.4502,10,10,10002117.XSHG
2.01912E+13,0.4517,242,0.4518,0.4336,1069550,220,0.4519,0.4502,10,10,10002117.XSHG
2.01912E+13,0.4509,243,0.4518,0.4336,1074059,220,0.4511,0.4499,10,10,10002117.XSHG
2.01912E+13,0.451,248,0.4518,0.4336,1096609,220,0.4507,0.4493,10,10,10002117.XSHG
2.01912E+13,0.4536,258,0.4536,0.4336,1141969,230,0.4536,0.4511,10,10,10002117.XSHG
2.01912E+13,0.4549,259,0.4549,0.4336,1146518,231,0.4552,0.4512,10,20,10002117.XSHG
2.01912E+13,0.453,260,0.4549,0.4336,1151048,232,0.4555,0.4532,1,10,10002117.XSHG
2.01912E+13,0.453,270,0.4549,0.4336,1196348,242,0.453,0.4528,7,10,10002117.XSHG
2.01912E+13,0.453,275,0.4549,0.4336,1218998,247,0.453,0.4528,2,10,10002117.XSHG
2.01912E+13,0.453,277,0.4549,0.4336,1228058,249,0.4555,0.4528,11,10,10002117.XSHG
2.01912E+13,0.453,287,0.4549,0.4336,1273358,259,0.4554,0.4528,10,10,10002117.XSHG
2.01912E+13,0.4477,288,0.4549,0.4336,1277835,260,0.4503,0.4477,20,19,10002117.XSHG
2.01912E+13,0.4505,291,0.4549,0.4336,1291350,263,0.4505,0.4478,7,1,10002117.XSHG
2.01912E+13,0.4505,292,0.4549,0.4336,1295855,264,0.4505,0.4478,6,1,10002117.XSHG
2.01912E+13,0.4505,293,0.4549,0.4336,1300360,264,0.4505,0.4478,5,1,10002117.XSHG
2.01912E+13,0.4505,294,0.4549,0.4336,1304865,264,0.4505,0.4478,4,1,10002117.XSHG
2.01912E+13,0.4508,299,0.4549,0.4336,1327393,269,0.4508,0.4478,10,1,10002117.XSHG
2.01912E+13,0.4507,300,0.4549,0.4336,1331900,270,0.4507,0.4478,9,1,10002117.XSHG
2.01912E+13,0.4507,304,0.4549,0.4336,1349928,274,0.4511,0.4478,10,1,10002117.XSHG
2.01912E+13,0.4511,305,0.4549,0.4336,1354439,274,0.4514,0.4479,10,10,10002117.XSHG
2.01912E+13,0.4444,306,0.4549,0.4336,1358883,274,0.445,0.4444,10,1,10002117.XSHG
2.01912E+13,0.4444,307,0.4549,0.4336,1363327,274,0.4454,0.4433,10,10,10002117.XSHG
2.01912E+13,0.4453,308,0.4549,0.4336,1367780,274,0.4468,0.4424,10,10,10002117.XSHG
2.01912E+13,0.4443,309,0.4549,0.4336,1372223,274,0.4444,0.4423,10,10,10002117.XSHG
2.01912E+13,0.4437,310,0.4549,0.4336,1376660,274,0.4437,0.4423,9,10,10002117.XSHG
2.01912E+13,0.4435,311,0.4549,0.4336,1381095,273,0.4428,0.4415,10,30,10002117.XSHG
2.01912E+13,0.4428,312,0.4549,0.4336,1385523,272,0.4432,0.4414,10,10,10002117.XSHG
2.01912E+13,0.4424,313,0.4549,0.4336,1389947,273,0.4423,0.4414,10,10,10002117.XSHG
2.01912E+13,0.4423,314,0.4549,0.4336,1394370,274,0.4423,0.4414,10,10,10002117.XSHG
2.01912E+13,0.4422,322,0.4549,0.4336,1429746,274,0.4422,0.4404,10,10,10002117.XSHG
2.01912E+13,0.4417,327,0.4549,0.4336,1451831,274,0.442,0.4404,10,10,10002117.XSHG
2.01912E+13,0.4405,328,0.4549,0.4336,1456236,274,0.4403,0.4396,10,10,10002117.XSHG
2.01912E+13,0.4403,329,0.4549,0.4336,1460639,275,0.4403,0.4396,10,10,10002117.XSHG
2.01912E+13,0.4389,330,0.4549,0.4336,1465028,276,0.4389,0.4377,10,10,10002117.XSHG
2.01912E+13,0.4383,331,0.4549,0.4336,1469411,277,0.4383,0.4371,10,1,10002117.XSHG
2.01912E+13,0.4383,332,0.4549,0.4336,1473794,278,0.4384,0.4369,10,10,10002117.XSHG
2.01912E+13,0.4374,333,0.4549,0.4336,1478168,278,0.4379,0.436,10,11,10002117.XSHG
2.01912E+13,0.4376,334,0.4549,0.4336,1482544,279,0.4375,0.4363,10,10,10002117.XSHG
2.01912E+13,0.4375,335,0.4549,0.4336,1486919,280,0.4374,0.4363,10,10,10002117.XSHG
2.01912E+13,0.4327,336,0.4549,0.4327,1491246,280,0.4325,0.4315,10,30,10002117.XSHG
2.01912E+13,0.4325,338,0.4549,0.4325,1499896,279,0.4325,0.4313,10,10,10002117.XSHG
2.01912E+13,0.432,339,0.4549,0.432,1504216,280,0.4317,0.4313,10,1,10002117.XSHG
2.01912E+13,0.4317,341,0.4549,0.4317,1512850,282,0.431,0.4301,10,10,10002117.XSHG
2.01912E+13,0.431,342,0.4549,0.431,1517160,283,0.4309,0.429,10,10,10002117.XSHG
2.01912E+13,0.4278,343,0.4549,0.4278,1521438,282,0.4307,0.4277,10,10,10002117.XSHG
2.01912E+13,0.428,344,0.4549,0.4278,1525718,282,0.4279,0.427,10,10,10002117.XSHG
2.01912E+13,0.4261,355,0.4549,0.4261,1572609,283,0.426,0.4247,9,10,10002117.XSHG
2.01912E+13,0.427,356,0.4549,0.4261,1576879,284,0.4268,0.4263,10,10,10002117.XSHG
2.01912E+13,0.4263,366,0.4549,0.4261,1619509,284,0.4265,0.4254,10,10,10002117.XSHG
2.01912E+13,0.4259,367,0.4549,0.4259,1623768,285,0.4259,0.4254,10,10,10002117.XSHG
2.01912E+13,0.4252,368,0.4549,0.4252,1628020,286,0.4252,0.4246,10,1,10002117.XSHG
2.01912E+13,0.4269,370,0.4549,0.4252,1636558,288,0.4285,0.4262,10,10,10002117.XSHG
2.01912E+13,0.4269,371,0.4549,0.4252,1640827,289,0.4269,0.4263,10,10,10002117.XSHG
2.01912E+13,0.4263,373,0.4549,0.4252,1649353,289,0.4269,0.4263,10,8,10002117.XSHG
2.01912E+13,0.4258,383,0.4549,0.4252,1691933,299,0.426,0.4247,10,30,10002117.XSHG
2.01912E+13,0.4246,384,0.4549,0.4246,1696179,300,0.4244,0.4231,10,30,10002117.XSHG
2.01912E+13,0.421,385,0.4549,0.421,1700389,301,0.4209,0.4195,10,30,10002117.XSHG
2.01912E+13,0.4158,387,0.4549,0.4158,1708705,303,0.4158,0.4143,10,30,10002117.XSHG
2.01912E+13,0.4125,397,0.4549,0.4125,1749955,313,0.4169,0.4128,10,30,10002117.XSHG
2.01912E+13,0.4128,407,0.4549,0.4125,1791235,323,0.4127,0.4104,10,10,10002117.XSHG
2.01912E+13,0.413,411,0.4549,0.4125,1807755,323,0.413,0.4102,10,30,10002117.XSHG
2.01912E+13,0.407,412,0.4549,0.407,1811825,324,0.409,0.407,10,1,10002117.XSHG
2.01912E+13,0.407,413,0.4549,0.407,1815895,325,0.4081,0.4059,10,30,10002117.XSHG
2.01912E+13,0.4219,423,0.4549,0.407,1858085,335,0.4221,0.4193,10,40,10002117.XSHG
2.01912E+13,0.4213,433,0.4549,0.407,1900215,345,0.4215,0.4193,10,11,10002117.XSHG
2.01912E+13,0.4207,435,0.4549,0.407,1908629,347,0.4207,0.4186,10,20,10002117.XSHG
2.01912E+13,0.4385,436,0.4549,0.407,1913014,348,0.4337,0.4247,10,1,10002117.XSHG
2.01912E+13,0.4271,437,0.4549,0.407,1917285,348,0.4296,0.4271,10,9,10002117.XSHG
